,Quantum Computing,Brain-Computer Interface,Fusion Energy,AGI Systems,Nano-Medicine
2025,2.5485106371577513,0.8563273410870638,0.0,1.862664854010567,0.568884132652224
2026,1.5366809938902557,0.3652827078848977,1.3461511929529606,0.21396327605807275,1.394745551603555
2027,4.446595732660048,0.6720395806571287,1.176607954599679,2.481810271194856,1.6672289557984072
2028,5.634135611538301,2.506827839476227,1.9495200514141773,3.0357408725198294,2.799221673712438
2029,3.366989540146121,3.04313384532664,1.1044363191925985,3.303081398862355,4.894078175965381
2030,5.643911693783355,3.388849410116089,2.020329241457324,3.833515506124578,4.850053427219486
2031,9.211607649216143,2.849675524402611,2.8862729228588715,6.603512877907871,5.687008809865423
2032,10.944786481288869,4.565497361565606,2.4322540560532664,8.087469726778227,6.179978163356776
2033,14.044322424005353,5.44532865514798,3.776586359987086,11.131672397465143,7.257088489151169
2034,16.30677204851556,6.751509033656586,3.35076637185416,13.905994706477696,10.716879136098493
2035,22.211790758239733,8.851467907523,4.476635577469205,18.624452955556496,13.765240456019688
2036,26.482785352664276,9.92910258011363,5.440350860576236,21.06913712447385,18.800713578347015
2037,30.557260415411125,12.422140747182485,5.78669459278892,24.71465099720297,20.513121025706624
2038,37.21905298418545,14.19040105181823,8.83117702233381,30.143420507965054,25.446294611179056
2039,42.15424362655163,17.154582876909757,9.460172202831421,34.642548355876954,28.261357339644015
2040,46.468849044540114,20.610479778229127,11.771207159352974,39.82672843374007,32.334748877247364
2041,53.84926852504981,21.997066492658927,14.327874459805185,43.325059154231894,37.683570426031416
2042,57.98297734318139,26.939497707531864,16.649796331098706,46.396983857260665,43.20225132901067
2043,65.57611678323106,30.86890488598605,19.491284604872444,50.225110884594265,51.596117841191656
2044,69.39065387666696,34.97878334317948,21.603300836557704,50.53792566251246,53.45828763254708
2045,73.62165197534134,39.72485774877332,24.380760252150164,52.94238950206343,60.11175562607289
2046,76.85245978511142,45.87728011981158,28.01214558122196,54.26837745724024,62.64149895505058
2047,82.40256579339834,47.79489134402791,29.82428575416852,55.9097507940556,68.65491126207522
2048,83.49028702941625,53.70910943070232,33.552887527576914,56.05309869130095,71.56745538930731
2049,85.42780744798888,54.8629079158696,37.16568019951905,58.37384940109335,74.00329705065627
2050,87.37091263739599,59.685923417623634,40.91088938027016,58.22640222770902,76.70334338517186
2051,89.93053925613329,63.29728958688524,45.595715662529116,57.63293662035323,78.1804938067017
2052,90.93307492536806,66.46340034902995,47.392734623572814,58.30109483343758,81.17148213016513
2053,91.9492248362229,68.96799939568226,50.795937950060946,59.591594520124566,81.63801104101717
2054,92.73232328223061,71.08784020386098,55.0959631427173,60.18074698512591,81.97453365682641
2055,95.38712697959213,71.67123579817675,55.796608228039304,61.233796623858375,82.87276874614945
2056,92.80361203393976,73.00482777040787,58.9788025278418,62.06131358314939,85.23575506072387
2057,93.04926415600583,75.52933303524989,59.13680777695598,60.131439108176,87.39646494728727
2058,92.97971317619619,75.4753596366195,61.45035790058413,59.06001211457643,86.32435223712957
2059,94.92431419278796,75.20912844497077,62.06744370671146,58.18438663886539,86.40637850378555
2060,95.71894591345803,76.02101764418563,63.838878169524875,60.13265797284934,87.15938073989776
